gene_nodeId,disease_nodeId,dot_product,gene_id,gene_description,disease_id,disease_description
3649,10779,17.710312,13205,PNPLA3,C0040517,Gilles de la Tourette syndrome
3649,9745,17.676582,13205,PNPLA3,C0006413,Burkitt Lymphoma
3649,10906,17.248795,13205,PNPLA3,C0079588,"Ichthyosis, X-Linked"
3649,10437,16.81377,13205,PNPLA3,C0009404,Colorectal Neoplasms
3649,10340,16.7797,13205,PNPLA3,C1968949,Cakut
3649,9931,16.374115,13205,PNPLA3,C2363142,T-Cell Prolymphocytic Leukemia
3649,10965,16.149782,13205,PNPLA3,C0017205,Gaucher Disease
3649,10964,15.638285,13205,PNPLA3,C0376358,Malignant neoplasm of prostate
3649,11251,15.610821,13205,PNPLA3,C0005587,"Depression, Bipolar"
3649,13208,15.33124,13205,PNPLA3,C4551720,Primary Ciliary Dyskinesia
3649,9787,15.325385,13205,PNPLA3,C0025286,Meningioma
3649,10602,15.295076,13205,PNPLA3,C0085762,Alcohol abuse
3649,11009,15.248024,13205,PNPLA3,C0035220,"Respiratory Distress Syndrome, Newborn"
3649,11226,15.232458,13205,PNPLA3,C0036489,Sea-Blue Histiocyte Syndrome
3649,9894,15.218925,13205,PNPLA3,C0684249,Carcinoma of lung
3649,9923,14.925196,13205,PNPLA3,C1540912,Hypereosinophilic syndrome
3649,9822,14.850628,13205,PNPLA3,C0152018,Esophageal carcinoma
3649,11008,14.632756,13205,PNPLA3,C4704874,"Mammary Carcinoma, Human"
3649,10381,14.60293,13205,PNPLA3,C0002736,Amyotrophic Lateral Sclerosis
3649,11682,14.26146,13205,PNPLA3,C0025303,Meningococcal Infections
3649,10119,14.250005,13205,PNPLA3,C4072872,obsolete Rod-cone dystrophy
3649,10685,13.974456,13205,PNPLA3,C0039292,Tangier Disease
3649,10441,13.966045,13205,PNPLA3,C0003873,Rheumatoid Arthritis
3649,11889,13.938858,13205,PNPLA3,C0025193,Melancholia
3649,10438,13.904429,13205,PNPLA3,C0020538,Hypertensive disease
3649,11892,13.764864,13205,PNPLA3,C0086133,Depressive Syndrome
3649,10402,13.739729,13205,PNPLA3,C0149958,Complex partial seizures
3649,9853,13.601669,13205,PNPLA3,C0242647,Mucosa-Associated Lymphoid Tissue Lymphoma
3649,9808,13.479881,13205,PNPLA3,C0039538,Teratoma
3649,9784,13.4534025,13205,PNPLA3,C0024899,Mastocytosis
3649,11478,13.413444,13205,PNPLA3,C1863370,Saethre-Chotzen Syndrome with Eyelid Anomalies
3649,9950,13.406952,13205,PNPLA3,C0265234,Branchio-Oto-Renal Syndrome
3649,10256,13.389963,13205,PNPLA3,C1848561,Methylmalonic acidemia with homocystinuria
3649,11438,13.342449,13205,PNPLA3,C4279912,Chemically-Induced Liver Toxicity
3649,11437,13.310406,13205,PNPLA3,C4277682,Chemical and Drug Induced Liver Injury
3649,11256,13.284684,13205,PNPLA3,C1571983,Involutional paraphrenia
3649,11436,13.271833,13205,PNPLA3,C3658290,Drug-Induced Acute Liver Injury
3649,18197,13.267653,13205,PNPLA3,C1842581,Abnormal corpus callosum morphology
3649,9779,13.250496,13205,PNPLA3,C0024299,Lymphoma
3649,11651,13.2436695,13205,PNPLA3,C0338630,Senile Paranoid Dementia
3649,11435,13.151302,13205,PNPLA3,C1262760,"Hepatitis, Drug-Induced"
3649,10439,13.128015,13205,PNPLA3,C0237873,Physiological Sexual Disorders
3649,11439,13.126047,13205,PNPLA3,C0011880,Diabetic Ketoacidosis
3649,10442,13.0729885,13205,PNPLA3,C0011881,Diabetic Nephropathy
3649,11650,13.065411,13205,PNPLA3,C1136382,Sclerocystic Ovaries
3649,20695,12.963274,13205,PNPLA3,C1839839,MAJOR AFFECTIVE DISORDER 2
3649,18367,12.956189,13205,PNPLA3,C1861481,"Stickler syndrome, type 3"
3649,11434,12.930779,13205,PNPLA3,C0860207,Drug-Induced Liver Disease
3649,10710,12.92886,13205,PNPLA3,C1861065,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 9"
3649,12433,12.922847,13205,PNPLA3,C0393588,"Dystonia, Paroxysmal"
3649,11673,12.825103,13205,PNPLA3,C0269102,Endometrioma
